# minimum track hours: 48
# region_start: NH; lon 0--360, lat 0--90; region_end: NH; lon 0--360, lat 0--90
# total no. of tracks: 16530
Trk: 23
	np: 9
	24 101.447479248 84.0245666504 -1538.58862305 98512.109375
	25 99.5333404541 85.1981277466 -1356.86022949 98627.0234375
	26 104.7241745 85.3372497559 -1109.28063965 98983.3984375
Trk: 409
	np: 8
	18 62.7874107361 43.927116394 -298.27923584 100913.796875
	19 63.3940391541 46.5783348083 -332.628143311 101029.226562
	20 62.5338516235 54.9155883789 -605.39276123 100498.039062
	21 62.8288345337 55.4043426514 -585.396911621 100424.757812
	22 69.5385437012 60.0138473511 -605.178161621 100167.601562
	23 68.5439987183 61.1054725647 -746.949645996 99846.4296875
	24 68.9516677856 62.9039459229 -891.326293945 99341.4609375
	25 70.6590194702 67.3391571045 -1028.12121582 98805.0703125
Trk: 547
	np: 12
	24 45.3459396362 69.6216583252 -765.917419434 98733.3203125
	25 50.288684845 70.1026687622 -693.958435059 98683.046875
	26 70.4055633545 72.4773406982 -1314.90551758 97969.6796875
	27 72.4621810913 74.4519805908 -1816.31506348 96923.3984375
	28 76.101890564 77.8971099854 -2206.97875977 96490.84375
	29 80.3146209717 79.7959442139 -2137.81689453 96419.8828125
	30 80.9968643188 82.7216567993 -2148.43383789 96539.265625
	31 78.552520752 84.0245666504 -2016.04077148 96510.578125
	32 90.0 86.1642608643 -2146.74902344 96520.5
	33 90.0 87.5131225586 -2051.64160156 96659.6640625
	34 89.140586853 88.8732528687 -1802.66271973 97058.5859375
	35 270.0 89.7718582153 -1820.81225586 97074.9140625
Trk: 548
	np: 16
	24 45.4880638123 62.1537704468 -498.139160156 99440.8125
	25 49.1120376587 59.8853874207 -431.237213135 99835.0078125
	26 60.4175872803 57.797996521 -413.131164551 100531.601562
	27 67.3917922974 57.3705825806 -538.840698242 101009.679688
	28 72.8066558838 58.6999893188 -523.691589355 100999.734375
	29 86.1769561768 62.2802581787 -592.096862793 100678.234375
	30 88.3853530884 65.6401443481 -523.093261719 100400.40625
	31 93.407371521 69.9796066284 -604.315734863 100007.0625
	32 101.486335754 71.4480895996 -664.206848145 99770.96875
	33 110.931518555 74.2483062744 -577.730712891 99590.7734375
	34 116.680534363 75.948638916 -708.331298828 99548.1171875
	35 122.214324951 77.1726150513 -661.676513672 99643.2734375
	36 127.126556396 76.1348876953 -522.319213867 99809.109375
	37 128.555648804 75.4475097656 -444.452667236 100250.414062
	38 129.420761108 73.0486984253 -488.235229492 100425.484375
	39 129.327484131 72.7333221436 -549.913269043 100386.445312
Trk: 550
	np: 21
	24 17.8585605621 54.6577796936 -420.718688965 100702.210938
	25 22.440038681 56.0026321411 -574.22479248 100562.96875
	26 27.7769546509 56.7491416931 -576.347900391 100503.25
	27 33.8182411194 56.85572052 -651.872436523 100359.617188
	28 40.3759346008 57.7264213562 -849.81842041 100180.84375
	29 46.893901825 58.3294029236 -1084.5645752 99919.2109375
	30 53.7700080872 59.5235595703 -1085.70288086 99785.7734375
	31 59.5440330505 59.430305481 -1354.70007324 99888.4765625
	32 65.5359649658 59.6609191895 -1255.80969238 99834.6484375
	33 71.2270050049 59.699962616 -1273.6217041 99835.4453125
	34 76.240196228 60.629940033 -1120.53527832 100114.3125
	35 81.745475769 61.8402099609 -1042.7911377 100046.921875
	36 85.7653808594 62.5710754395 -1053.63317871 99937.8828125
	37 88.1308517456 62.6889724731 -966.428833008 99927.25
	38 91.3295288086 63.9000778198 -772.140136719 99983.78125
	39 97.7878723145 63.7046203613 -631.495300293 100122.625
	40 105.499664307 63.0648498535 -649.417480469 100301.828125
	41 107.772735596 63.1819915771 -593.531860352 100366.585938
	42 113.324645996 63.2322921753 -524.27923584 100582.296875
	43 119.052619934 63.2063369751 -491.939025879 100703.054688
